Item	Category	Sources
Martial Halberd	Instance	The Dusk Vigil
Giantsgall Trident	Loot	Level 50 Weapon Coffer (IL 70)
The Spear of Crags	Loot	Crag Weapon Coffer (IL 80)
The Spear of Crags	Instance	The Navel (Hard)
True Ice Spear	Loot	Ice Weapon Coffer (IL 110)
True Ice Spear	Instance	The Akh Afah Amphitheatre (Extreme)
Garuda's Beak	Loot	Vortex Weapon Coffer (IL 70)
Garuda's Beak	Instance	The Howling Eye (Hard)
Liberator	Loot	Level 50 Weapon Coffer (IL 110)
Wave Harpoon	Loot	Tidal Weapon Coffer (IL 95)
Wave Harpoon	Instance	The Whorleater (Extreme)
Ifrit's Harpoon	Loot	Inferno Weapon Coffer (IL 60)
Ifrit's Harpoon	Instance	The Bowl of Embers (Hard)
Crier's Halberd	Instance	Cutter's Cry
Wyvern Spear	Instance	The Stone Vigil
Kumokirimaru Shin	Instance	Doma Castle
Ox Tongue	Instance	Sohm Al
Edenmorn Bastard Sword	Loot	Edenmorn Weapon Coffer (IL 535)
Zurvanite Edge	Loot	Zurvanite Weapon Coffer (IL 265)
Zurvanite Edge	Instance	Containment Bay Z1T9 (Extreme)
Midan Metal Greatsword	Loot	Midan Weapon Coffer (IL 245)
Midan Metal Greatsword	Instance	Alexander - The Burden of the Son (Savage)
Diamond Zeta Bastard Sword	Loot	Diamond Zeta Weapon Coffer (IL 525)
Chondrite Magitek Sword	Loot	Chondrite Weapon Coffer (IL 545)
Voidcast Falchion	Loot	Voidcast Weapon Coffer (IL 645)
Edenchoir Bastard Sword	Loot	Edenchoir Weapon Coffer (IL 505)
High Durium Sword	Loot	Horse Chestnut Weapon Coffer (IL 515)
Bluefeather Sword	Loot	Bluefeather Weapon Coffer (IL 595)
Sword of Ascension	Loot	Ascension Weapon Coffer (IL 665)
Monstrorum Falchion	Loot	Paladin's Monstrorum Arms (IL 520)
Susano's Longsword	Loot	Susano Weapon Coffer (IL 320)
Tsukuyomi's Longsword	Loot	Tsukuyomi Weapon Coffer (IL 365)
Homura Kai	Loot	Dai-ryumyaku Weapon Coffer (IL 370)
Seiryu's Sanctified Longsword	Loot	Seiryu's Sanctified Paladin Arms
Onikiri Shin	Loot	Yanxian Paladin's Arms (IL 282)
Tsukuyomi's Moonlit Longsword	Loot	Tsukuyomi's Moonlit Paladin Arms
Shinryu's Longsword	Loot	Shinryu Weapon Coffer (IL 335)
Antiquated Galatyn	Loot	Chivalrous Armor Coffer (IL 290)
Diamond Sword	Loot	Diamond Weapon Coffer (IL 375)
Alexandrian Metal Blade	Loot	Alexandrian Weapon Coffer (IL 275)
Ruby Tide Blade	Loot	Ruby Tide Paladin's Arms (IL 270)
Byakko's Enspirited Stone Sword	Loot	Byakko's Enspirited Paladin Arms
Ghost Barque Anelace	Loot	Paladin's Ghost Barque Arms (IL 260)
Susano's Rapturous Longsword	Loot	Susano's Rapturous Paladin Arms
Genji Shichishito	Loot	Genji Weapon Coffer (IL 345)
Suzaku's Flame-kissed Longsword	Loot	Suzaku's Flame-kissed Paladin Arms
The Eminent Dominion	Loot	Mol Paladin's Arms (IL 276)
Blade of the Crimson Lotus	Loot	Paladin's Crimson Lotus Arms (IL 300)
Chondrite Magitek Baghnakhs	Loot	Chondrite Weapon Coffer (IL 545)
Shinryu's Ephemeral Longsword	Loot	Shinryu's Ephemeral Paladin Arms
Enhancing Sword	Loot	Paladin's Enhancing Arms (IL 288)
Manganese Knuckles	Loot	Ironwood Weapon Coffer (IL 539)
Flamecloaked Baghnakhs	Loot	Flamecloaked Weapon Coffer (IL 625)
Flamecloaked Baghnakhs	Instance	Mount Ordeals (Extreme)
Ktiseos Knuckles	Instance	Ktisis Hyperboreia
Knuckles of Ascension	Loot	Ascension Weapon Coffer (IL 665)
Monstrorum Claws	Instance	The Tower of Zot
Abyssos Baghnakhs	Loot	Abyssos Weapon Coffer (IL 635)
Abyssos Baghnakhs	Instance	Abyssos: The Eighth Circle (Savage)
Asphodelos Knuckles	Loot	Asphodelos Weapon Coffer (IL 605)
Asphodelos Knuckles	Instance	Asphodelos: The Fourth Circle (Savage)
Blackbosom Void Reaper	Loot	Blackbosom Weapon Coffer
Sainti of Divine Light	Loot	Divine Light Weapon Coffer (IL 580)
Sainti of Divine Light	Instance	The Minstrel's Ballad: Hydaelyn's Call
Bismuth Tonfa	Loot	Phrygian Weapon Coffer (IL 533)
Imperial Magitek Baghnakhs	Instance	The Tower of Babil
High Durium Cesti	Loot	Pewter Weapon Coffer (IL 525)
Voidcast Claws	Loot	Voidcast Weapon Coffer (IL 645)
Voidcast Claws	Instance	The Voidcast Dais (Extreme)
Bluefeather Tonfa	Loot	Bluefeather Weapon Coffer (IL 595)
Bluefeather Tonfa	Instance	The Minstrel's Ballad: Endsinger's Aria
Stygian Hyposkhesphyra	Loot	Hyposkhesphyra Weapon Coffer
Palaka Sainti	Instance	Vanaspati
Windswept Fists	Loot	Windswept Weapon Coffer (IL 615)
Windswept Fists	Instance	Storm's Crown (Extreme)
Diamond Zeta Knuckles	Loot	Diamond Zeta Weapon Coffer (IL 525)
Diamond Zeta Knuckles	Instance	The Cloud Deck (Extreme)
Edenmorn Sainti	Loot	Edenmorn Weapon Coffer (IL 535)
Edenmorn Sainti	Instance	Eden's Promise: Eternity (Savage)
High Durium Knuckles	Loot	Horse Chestnut Weapon Coffer (IL 515)
Augmented Crystarium Knuckles	Loot	Crystarium Weapon Coffer (IL 500)
Omega Knuckles	Loot	Omega Weapon Coffer (IL 405)
Omega Knuckles	Instance	Alphascape V4.0 (Savage)
Edenchoir Jamadhars	Loot	Edenchoir Weapon Coffer (IL 505)
Edenchoir Jamadhars	Instance	Eden's Verse: Refulgence (Savage)
Titanbronze Fists	Loot	Titanbronze Weapon Coffer (IL 409)
Emerald Knuckles	Loot	Emerald Weapon Coffer (IL 515)
Emerald Knuckles	Instance	Castrum Marinum (Extreme)
Bluespirit Baghnakhs	Loot	Bluespirit Weapon Coffer (IL 403)
Edengrace Knuckles	Loot	Edengrace Weapon Coffer (IL 475)
Edengrace Knuckles	Instance	Eden's Gate: Sepulture (Savage)
Fae Knuckles	Instance	Dohn Mheg
The King's Claws	Loot	Titania Weapon Coffer (IL 450)
The King's Claws	Instance	The Dancing Plague (Extreme)
Zelos	Loot	Hades Weapon Coffer (IL 465)
Zelos	Instance	The Minstrel's Ballad: Hades's Elegy
Nabaath Claws	Instance	Malikah's Well
Seiryu's Bladed Tekko	Loot	Seiryu Weapon Coffer (IL 395)
Seiryu's Bladed Tekko	Instance	The Wreath of Snakes (Extreme)
Ruby Cesti	Loot	Ruby Weapon Coffer (IL 485)
Ruby Cesti	Instance	Cinder Drift (Extreme)
Ravel Keeper's Knuckles	Instance	The Qitana Ravel
Jamadhars of Light	Loot	Light Weapon Coffer (IL 495)
Jamadhars of Light	Instance	The Seat of Sacrifice (Extreme)
Deepgold Knuckles	Loot	Deepgold Weapon Coffer (IL 395)
Claws of the Forgiven	Instance	Mt. Gulg
Lakeland Claws	Instance	Holminster Switch
Dwarven Mythril Knuckles	Loot	Dwarven Mythril Weapon Coffer (IL 415)
Sword of the Forgiven	Loot	Paladin's Forgiven Arms (IL 418)
Augmented Misos	Loot	Paladin's Augmented Hades Arms
Suzaku's Longsword	Loot	Suzaku Weapon Coffer (IL 385)
Sword of Light	Loot	Light Weapon Coffer (IL 495)
Augmented Crystarium Sword	Loot	Crystarium Weapon Coffer (IL 500)
Fae Sword	Loot	Paladin's Fae Arms (IL 400)
Misos	Loot	Hades Weapon Coffer (IL 465)
Omega Sword	Loot	Omega Weapon Coffer (IL 405)
Dwarven Mythril Pikenstock	Loot	Dwarven Mythril Weapon Coffer (IL 415)
Deepgold Sword	Loot	Deepgold Weapon Coffer (IL 395)
Edengrace Bastard Sword	Loot	Edengrace Weapon Coffer (IL 475)
Seiryu's Longsword	Loot	Seiryu Weapon Coffer (IL 395)
Lakeland Longsword	Loot	Paladin's Lakeland Arms (IL 390)
Titanbronze Kilij	Loot	Titanbronze Weapon Coffer (IL 409)
The King's Sword	Loot	Titania Weapon Coffer (IL 450)
Ravel Keeper's Sword	Loot	Ravel Keeper's Paladin Arms (IL 406)
The Fae's Crown Sword	Loot	The Fae's Crown Paladin Arms
Ruby Broadsword	Loot	Ruby Weapon Coffer (IL 485)
Deepgold Anelace	Loot	White Oak Weapon Coffer (IL 385)
Rubellux Broadsword	Loot	Paladin's Rubellux Arms
Palaka Shortbow	Instance	Vanaspati
Windswept Bow	Loot	Windswept Weapon Coffer (IL 615)
Windswept Bow	Instance	Storm's Crown (Extreme)
Ironwood Longbow	Loot	Ironwood Weapon Coffer (IL 539)
Palm Longbow	Loot	Pewter Weapon Coffer (IL 525)
Longbow of Divine Light	Loot	Divine Light Weapon Coffer (IL 580)
Longbow of Divine Light	Instance	The Minstrel's Ballad: Hydaelyn's Call
Integral Magitek Bow	Loot	Chondrite Weapon Coffer (IL 545)
Bismuth Bow	Loot	Phrygian Weapon Coffer (IL 533)
Edenmorn Cavalry Bow	Loot	Edenmorn Weapon Coffer (IL 535)
Edenmorn Cavalry Bow	Instance	Eden's Promise: Eternity (Savage)
Imperial Magitek Bow	Instance	The Tower of Babil
Monstrorum Longbow	Instance	The Tower of Zot
Bluefeather Longbow	Loot	Bluefeather Weapon Coffer (IL 595)
Bluefeather Longbow	Instance	The Minstrel's Ballad: Endsinger's Aria
Augmented Crystarium Composite Bow	Loot	Crystarium Weapon Coffer (IL 500)
Bow of Light	Loot	Light Weapon Coffer (IL 495)
Bow of Light	Instance	The Seat of Sacrifice (Extreme)
Emerald Longbow	Loot	Emerald Weapon Coffer (IL 515)
Emerald Longbow	Instance	Castrum Marinum (Extreme)
Ruby Bow	Loot	Ruby Weapon Coffer (IL 485)
Ruby Bow	Instance	Cinder Drift (Extreme)
Horse Chestnut Longbow	Loot	Horse Chestnut Weapon Coffer (IL 515)
Edenchoir Harp Bow	Loot	Edenchoir Weapon Coffer (IL 505)
Edenchoir Harp Bow	Instance	Eden's Verse: Refulgence (Savage)
Deima	Loot	Hades Weapon Coffer (IL 465)
Deima	Instance	The Minstrel's Ballad: Hades's Elegy
Edengrace Harp Bow	Loot	Edengrace Weapon Coffer (IL 475)
Edengrace Harp Bow	Instance	Eden's Gate: Sepulture (Savage)
Asphodelos Harp Bow	Loot	Asphodelos Weapon Coffer (IL 605)
Asphodelos Harp Bow	Instance	Asphodelos: The Fourth Circle (Savage)
Shadow Hyposkhesphyra	Loot	Hyposkhesphyra Weapon Coffer
Lockheart	Instance	The Stone Vigil
Crier's Claymore	Instance	Cutter's Cry
Voidcast Bayonet	Loot	Voidcast Weapon Coffer (IL 645)
Voidcast Bayonet	Instance	The Voidcast Dais (Extreme)
Platoon Sword	Instance	The Sunken Temple of Qarn
Abyssos Sawback	Loot	Abyssos Weapon Coffer (IL 635)
Abyssos Sawback	Instance	Abyssos: The Eighth Circle (Savage)
Blackbosom Soul Reaper	Loot	Blackbosom Weapon Coffer
Longstop Greatsword	Instance	Brayflox's Longstop
Edenmorn Gunblade	Loot	Edenmorn Weapon Coffer (IL 535)
Edenmorn Gunblade	Instance	Eden's Promise: Eternity (Savage)
Manganese Bayonet	Loot	Ironwood Weapon Coffer (IL 539)
Bluefeather Bayonet	Loot	Bluefeather Weapon Coffer (IL 595)
Bluefeather Bayonet	Instance	The Minstrel's Ballad: Endsinger's Aria
High Durium Manatrigger	Loot	Horse Chestnut Weapon Coffer (IL 515)
Diamond Zeta Gunblade	Loot	Diamond Zeta Weapon Coffer (IL 525)
Diamond Zeta Gunblade	Instance	The Cloud Deck (Extreme)
Windswept Gunblade	Loot	Windswept Weapon Coffer (IL 615)
Windswept Gunblade	Instance	Storm's Crown (Extreme)
Emerald Sawback	Loot	Emerald Weapon Coffer (IL 515)
Emerald Sawback	Instance	Castrum Marinum (Extreme)
Monstrorum Gunblade	Instance	The Tower of Zot
Edenchoir Gunblade	Loot	Edenchoir Weapon Coffer (IL 505)
Edenchoir Gunblade	Instance	Eden's Verse: Refulgence (Savage)
Gunblade of Divine Light	Loot	Divine Light Weapon Coffer (IL 580)
Gunblade of Divine Light	Instance	The Minstrel's Ballad: Hydaelyn's Call
The King's Manatrigger	Loot	Titania Weapon Coffer (IL 450)
The King's Manatrigger	Instance	The Dancing Plague (Extreme)
Bismuth Gunblade	Loot	Phrygian Weapon Coffer (IL 533)
Chondrite Magitek Sawback	Loot	Chondrite Weapon Coffer (IL 545)
Odune	Loot	Hades Weapon Coffer (IL 465)
Odune	Instance	The Minstrel's Ballad: Hades's Elegy
Ruby Sawback	Loot	Ruby Weapon Coffer (IL 485)
Ruby Sawback	Instance	Cinder Drift (Extreme)
High Durium Bayonet	Loot	Pewter Weapon Coffer (IL 525)
Augmented Crystarium Manatrigger	Loot	Crystarium Weapon Coffer (IL 500)
Edengrace Manatrigger	Loot	Edengrace Weapon Coffer (IL 475)
Edengrace Manatrigger	Instance	Eden's Gate: Sepulture (Savage)
Dzemael Bardiche	Instance	Dzemael Darkhold
Imperial Magitek Sawback	Instance	The Tower of Babil
Spiked Cobalt Labrys	Loot	Level 49 Weapon Coffer
Canopus Bill	Instance	The Aurum Vale
Boar's Bane	Instance	The Sunken Temple of Qarn
Eisentaenzer	Instance	The Stone Vigil
Steel Bhuj	Loot	Level 34 Weapon Coffer
Spiked Mythril Labrys	Loot	Level 36 Weapon Coffer
Buccaneer's Bardiche	Loot	Level 45 Weapon Coffer
Mythril Bhuj	Loot	Level 40 Weapon Coffer
Plundered Battleaxe	Instance	Sastasha	The Tam-Tara Deepcroft	Copperbell Mines
Voidcast Greatsword	Loot	Voidcast Weapon Coffer (IL 645)
Voidcast Greatsword	Instance	The Voidcast Dais (Extreme)
Black Hyposkhesphyra	Loot	Hyposkhesphyra Weapon Coffer
Inferno Axe	Loot	Level 18 Weapon Coffer
Spiked Steel Labrys	Loot	Level 28 Weapon Coffer
Greatsword of Ascension	Loot	Ascension Weapon Coffer (IL 665)
Charred Axe	Instance	Haukke Manor
Thunderstorm Axe	Loot	Level 24 Weapon Coffer
Flamecloaked Guillotine	Loot	Flamecloaked Weapon Coffer (IL 625)
Flamecloaked Guillotine	Instance	Mount Ordeals (Extreme)
Doctore's Bill	Instance	Halatali
Iron Bill	Loot	Level 21 Weapon Coffer
Blackbosom Grim Reaper	Loot	Blackbosom Weapon Coffer
Allagan Guillotine	Loot	Allagan Weapon Coffer (IL 95)
Allagan Guillotine	Instance	The Binding Coil of Bahamut - Turn 5
High Allagan Guillotine	Loot	High Allagan Weapon Coffer (IL 115)
High Allagan Guillotine	Instance	The Second Coil of Bahamut - Turn 4	The Second Coil of Bahamut (Savage) - Turn 4
Ifrit's Faussar	Loot	Inferno Weapon Coffer (IL 60)
Ifrit's Faussar	Instance	The Bowl of Embers (Hard)
Dzemael Zweihander	Instance	Dzemael Darkhold
Thunderclap	Loot	Levin Weapon Coffer (IL 100)
Thunderclap	Instance	The Striking Tree (Extreme)
Monstrous Mogsword	Loot	Mogpon Coffer (IL 75)
Monstrous Mogsword	Instance	Thornmarch (Hard)
Garuda's Pain	Loot	Vortex Weapon Coffer (IL 70)
Garuda's Pain	Instance	The Howling Eye (Hard)
Wave Faussar	Loot	Tidal Weapon Coffer (IL 95)
Wave Faussar	Instance	The Whorleater (Extreme)
Darklight Greatsword	Instance	The Wanderer's Palace	Amdapor Keep
Balisarde	Instance	The Aurum Vale
Guillotine of Crags	Loot	Crag Weapon Coffer (IL 80)
Guillotine of Crags	Instance	The Navel (Hard)
Edge of the Sephirot	Loot	Sephirotic Weapon Coffer (IL 220)
Edge of the Sephirot	Instance	Containment Bay S1T7 (Extreme)
Claymore of the Heavens	Loot	Heavens Weapon Coffer (IL 205)
Claymore of the Heavens	Instance	The Minstrel's Ballad: Thordan's Reign
Martial Greatsword	Instance	The Dusk Vigil
Dreadwyrm Claymore	Loot	Dreadwyrm Weapon Coffer (IL 135)
Dreadwyrm Claymore	Instance	The Final Coil of Bahamut - Turn 4
Hive Claymore	Loot	Hive Weapon Coffer (IL 190)
Hive Claymore	Instance	Thok ast Thok (Extreme)
Gordian Greatsword	Loot	Gordian Weapon Coffer (IL 210)
Gordian Greatsword	Instance	Alexander - The Burden of the Father (Savage)
Belah'dian Claymore	Instance	The Great Gubal Library
Dainslaif	Instance	The Aery
Expanse Greatsword	Loot	Expanse Weapon Coffer (IL 175)
Expanse Greatsword	Instance	The Limitless Blue (Extreme)
Halonic Inquisitor's Greatsword	Instance	The Vault
Baldur Blade	Instance	Neverreap	The Fractal Continuum
Skofnung	Instance	Sohm Al
Byakko's Greataxe	Loot	Byakko Weapon Coffer (IL 355)
Byakko's Greataxe	Instance	The Jade Stoa (Extreme)
Alexandrian Metal Axe	Loot	Alexandrian Weapon Coffer (IL 275)
Alexandrian Metal Axe	Instance	Alexander - The Soul of the Creator (Savage)
Shinryu's War Axe	Loot	Shinryu Weapon Coffer (IL 335)
Shinryu's War Axe	Instance	The Minstrel's Ballad: Shinryu's Domain
Ruby Tide Axe	Instance	Shisui of the Violet Tides
Tsukuyomi's Greataxe	Loot	Tsukuyomi Weapon Coffer (IL 365)
Tsukuyomi's Greataxe	Instance	The Minstrel's Ballad: Tsukuyomi's Pain
Axe of the Crimson Lotus	Instance	Ala Mhigo	Kugane Castle	The Temple of the Fist
Genji Greataxe	Loot	Genji Weapon Coffer (IL 345)
Genji Greataxe	Instance	Deltascape V4.0 (Savage)
Kintoki Shin	Instance	Doma Castle
The Impassible Peak	Instance	Bardam's Mettle
Antiquated Farsha	Loot	Brutal Armor Coffer (IL 290)
Susano's War Axe	Loot	Susano Weapon Coffer (IL 320)
Susano's War Axe	Instance	The Pool of Tribute (Extreme)
Zurvanite Axe	Loot	Zurvanite Weapon Coffer (IL 265)
Zurvanite Axe	Instance	Containment Bay Z1T9 (Extreme)
Sparth	Instance	Castrum Abania
Ghost Barque Battleaxe	Instance	The Sirensong Sea
Dzemael Jamadhars	Instance	Dzemael Darkhold
Darklight Baghnakhs	Instance	The Wanderer's Palace	Amdapor Keep
Ifrit's Claws	Loot	Inferno Weapon Coffer (IL 60)
Ifrit's Claws	Instance	The Bowl of Embers (Hard)
Garuda's Talons	Loot	Vortex Weapon Coffer (IL 70)
Garuda's Talons	Instance	The Howling Eye (Hard)
Verdant Hora	Instance	The Aurum Vale
Jamadhars	Instance	The Stone Vigil
Peisteskin Cesti	Loot	Level 45 Weapon Coffer
Giantsgall Claws	Loot	Level 50 Weapon Coffer (IL 70)
Tortoiseshell Hora	Loot	Level 40 Weapon Coffer
Murderous Mogfists	Loot	Mogpon Coffer (IL 75)
Murderous Mogfists	Instance	Thornmarch (Hard)
Cobalt Claws	Loot	Level 49 Weapon Coffer
Emerald Partisan	Loot	Emerald Weapon Coffer (IL 515)
Emerald Partisan	Instance	Castrum Marinum (Extreme)
Ktiseos Spear	Instance	Ktisis Hyperboreia
Abyssos Partisan	Loot	Abyssos Weapon Coffer (IL 635)
Abyssos Partisan	Instance	Abyssos: The Eighth Circle (Savage)
Palm Halberd	Loot	Pewter Weapon Coffer (IL 525)
Flamecloaked Bident	Loot	Flamecloaked Weapon Coffer (IL 625)
Flamecloaked Bident	Instance	Mount Ordeals (Extreme)
Partisan of Divine Light	Loot	Divine Light Weapon Coffer (IL 580)
Partisan of Divine Light	Instance	The Minstrel's Ballad: Hydaelyn's Call
Bluefeather Halberd	Loot	Bluefeather Weapon Coffer (IL 595)
Bluefeather Halberd	Instance	The Minstrel's Ballad: Endsinger's Aria
Ironwood Spear	Loot	Ironwood Weapon Coffer (IL 539)
Red Pine Spear	Loot	Phrygian Weapon Coffer (IL 533)
Asphodelos Trident	Loot	Asphodelos Weapon Coffer (IL 605)
Asphodelos Trident	Instance	Asphodelos: The Fourth Circle (Savage)
Voidcast Lance	Loot	Voidcast Weapon Coffer (IL 645)
Voidcast Lance	Instance	The Voidcast Dais (Extreme)
Edenchoir Fork	Loot	Edenchoir Weapon Coffer (IL 505)
Edenchoir Fork	Instance	Eden's Verse: Refulgence (Savage)
Palaka Couse	Instance	Vanaspati
Augmented Crystarium Spear	Loot	Crystarium Weapon Coffer (IL 500)
Imperial Magitek Spear	Instance	The Tower of Babil
Windswept Spear	Loot	Windswept Weapon Coffer (IL 615)
Windswept Spear	Instance	Storm's Crown (Extreme)
Edenmorn Halberd	Loot	Edenmorn Weapon Coffer (IL 535)
Edenmorn Halberd	Instance	Eden's Promise: Eternity (Savage)
Diamond Zeta Partisan	Loot	Diamond Zeta Weapon Coffer (IL 525)
Diamond Zeta Partisan	Instance	The Cloud Deck (Extreme)
Horse Chestnut Spear	Loot	Horse Chestnut Weapon Coffer (IL 515)
Wargfangs	Instance	The Aery
Monstrorum Fork	Instance	The Tower of Zot
Fists of Crags	Loot	Crag Weapon Coffer (IL 80)
Fists of Crags	Instance	The Navel (Hard)
Destroyers	Instance	Sohm Al
Thavnairian Katars	Instance	The Great Gubal Library
Halonic Friar's Patas	Instance	The Vault
Wave Patas	Loot	Tidal Weapon Coffer (IL 95)
Wave Patas	Instance	The Whorleater (Extreme)
Martial Patas	Instance	The Dusk Vigil
True Ice Claws	Loot	Ice Weapon Coffer (IL 110)
True Ice Claws	Instance	The Akh Afah Amphitheatre (Extreme)
Thundercrack	Loot	Levin Weapon Coffer (IL 100)
Thundercrack	Instance	The Striking Tree (Extreme)
Allagan Baghnakhs	Loot	Allagan Weapon Coffer (IL 95)
Allagan Baghnakhs	Instance	The Binding Coil of Bahamut - Turn 5
Dreadwyrm Claws	Loot	Dreadwyrm Weapon Coffer (IL 135)
Dreadwyrm Claws	Instance	The Final Coil of Bahamut - Turn 4
Deepgold Gunblade	Loot	White Oak Weapon Coffer (IL 385)
Ghost Barque Gunblade	Instance	The Sirensong Sea
Shinryu's Gunblade	Loot	Shinryu Weapon Coffer (IL 335)
Shinryu's Gunblade	Instance	The Minstrel's Ballad: Shinryu's Domain
Yaita Kai	Loot	Dai-ryumyaku Weapon Coffer (IL 370)
Omega Bayonet	Loot	Omega Weapon Coffer (IL 405)
Omega Bayonet	Instance	Alphascape V4.0 (Savage)
Ravel Keeper's Sawback	Instance	The Qitana Ravel
Titanbronze Bayonet	Loot	Titanbronze Weapon Coffer (IL 409)
Bluespirit Gunblade	Loot	Bluespirit Weapon Coffer (IL 403)
Wakasa Shin	Instance	Doma Castle
Gunblade of the Crimson Lotus	Instance	Ala Mhigo	Kugane Castle	The Temple of the Fist
Ruby Tide Gunblade	Instance	Shisui of the Violet Tides
Manatrigger of the Forgiven	Instance	Mt. Gulg
Lakeland Manatrigger	Instance	Holminster Switch
Gunblade of the Heavens	Loot	Heavens Weapon Coffer (IL 205)
Gunblade of the Heavens	Instance	The Minstrel's Ballad: Thordan's Reign
The Impassionate Tide	Instance	Bardam's Mettle
Deepgold Bayonet	Loot	Deepgold Weapon Coffer (IL 395)
Trident of Ascension	Loot	Ascension Weapon Coffer (IL 665)
Hrotti	Instance	Castrum Abania
Dwarven Mythril Manatrigger	Loot	Dwarven Mythril Weapon Coffer (IL 415)
Shinryu's Claws	Loot	Shinryu Weapon Coffer (IL 335)
Shinryu's Claws	Instance	The Minstrel's Ballad: Shinryu's Domain
Suzaku's Pinions	Loot	Suzaku Weapon Coffer (IL 385)
Suzaku's Pinions	Instance	Hells' Kier (Extreme)
Antiquated Sudarshana Chakra	Loot	Pacifist's Attire Coffer (IL 290)
Genji Chakrams	Loot	Genji Weapon Coffer (IL 345)
Genji Chakrams	Instance	Deltascape V4.0 (Savage)
The Everflowing Waters	Instance	Bardam's Mettle
Acantha Shavers	Instance	Castrum Abania
